"","LSOA21CD","MSOA21CD"
"453","S01007024","S02001324"
"454","S01007027","S02001325"
"455","S01007026","S02001324"
"456","S01007025","S02001324"
"457","S01011065","S02002077"
"458","S01007029","S02001325"
"459","S01007045","S02001328"
"460","S01007044","S02001328"
"461","S01007014","S02001322"
"462","S01007117","S02001340"
"463","S01007108","S02001339"
"464","S01007116","S02001340"
"465","S01007049","S02001329"
"466","S01007107","S02001339"
"467","S01007055","S02001330"
"468","S01007109","S02001339"
"469","S01007119","S02001341"
"470","S01007046","S02001329"
"471","S01007125","S02001343"
"472","S01007047","S02001329"
"473","S01007110","S02001339"
"474","S01007111","S02001339"
"475","S01007054","S02001330"
"476","S01007102","S02001338"
"477","S01007101","S02001338"
"478","S01007127","S02001343"
"479","S01007121","S02001342"
"480","S01007120","S02001341"
"481","S01007128","S02001343"
"482","S01007113","S02001340"
"483","S01007112","S02001340"
"484","S01007122","S02001342"
"485","S01007126","S02001343"
"486","S01007123","S02001342"
"487","S01007124","S02001342"
"488","S01007114","S02001340"
"489","S01007118","S02001341"
"490","S01007104","S02001339"
"491","S01007115","S02001340"
"492","S01007103","S02001339"
"493","S01007105","S02001339"
"494","S01007106","S02001339"
"495","S01007086","S02001336"
"496","S01007080","S02001335"
"497","S01007079","S02001335"
"498","S01007078","S02001335"
"499","S01007093","S02001337"
"500","S01007076","S02001334"
"501","S01007074","S02001334"
"502","S01007073","S02001334"
"503","S01007087","S02001336"
"504","S01007085","S02001336"
"505","S01007094","S02001337"
"506","S01007083","S02001336"
"507","S01007081","S02001336"
"508","S01007092","S02001337"
"509","S01007075","S02001334"
"510","S01007077","S02001334"
"511","S01007082","S02001336"
"512","S01007088","S02001336"
"513","S01007084","S02001336"
"514","S01007098","S02001338"
"515","S01007090","S02001337"
"516","S01007072","S02001334"
"517","S01007097","S02001338"
"518","S01007069","S02001333"
"519","S01007066","S02001333"
"520","S01007070","S02001333"
"521","S01007089","S02001337"
"522","S01007099","S02001338"
"523","S01007100","S02001338"
"524","S01007096","S02001338"
"525","S01007068","S02001333"
"526","S01007065","S02001333"
"527","S01007067","S02001333"
"528","S01007071","S02001333"
"529","S01007095","S02001338"
"530","S01007064","S02001332"
"531","S01007057","S02001331"
"532","S01007051","S02001330"
"533","S01007063","S02001332"
"534","S01007059","S02001331"
"535","S01007058","S02001331"
"536","S01007052","S02001330"
"537","S01007060","S02001331"
"538","S01007053","S02001330"
"539","S01007056","S02001330"
"540","S01007050","S02001330"
"541","S01006993","S02001318"
"542","S01007048","S02001329"
"543","S01006959","S02001313"
"544","S01006969","S02001314"
"545","S01006971","S02001314"
"546","S01006968","S02001314"
"547","S01006962","S02001313"
"548","S01006965","S02001314"
"549","S01006958","S02001313"
"550","S01006963","S02001313"
"551","S01006967","S02001314"
"552","S01006976","S02001315"
"553","S01006966","S02001314"
"554","S01006964","S02001313"
"555","S01006961","S02001313"
"556","S01006960","S02001313"
"557","S01007091","S02001337"
"558","S01007017","S02001323"
"559","S01006987","S02001317"
"560","S01006985","S02001317"
"561","S01006992","S02001318"
"562","S01006986","S02001317"
"563","S01006912","S02001305"
"564","S01006989","S02001317"
"565","S01006919","S02001306"
"566","S01006921","S02001306"
"567","S01006920","S02001306"
"568","S01006918","S02001306"
"569","S01006911","S02001305"
"570","S01006913","S02001305"
"571","S01006923","S02001306"
"572","S01006916","S02001306"
"573","S01006922","S02001306"
"574","S01011078","S02002079"
"575","S01011076","S02002078"
"576","S01011079","S02002079"
"577","S01011080","S02002079"
"578","S01011081","S02002079"
"579","S01011082","S02002079"
"580","S01011073","S02002078"
"581","S01011072","S02002077"
"582","S01011077","S02002078"
"583","S01011075","S02002078"
"584","S01011074","S02002078"
"585","S01011069","S02002077"
"586","S01011066","S02002077"
"587","S01011084","S02002080"
"588","S01011071","S02002077"
"589","S01011090","S02002081"
"590","S01011068","S02002077"
"591","S01011083","S02002080"
"592","S01011070","S02002077"
"593","S01011067","S02002077"
"594","S01011062","S02002076"
"595","S01011061","S02002076"
"596","S01011063","S02002076"
"597","S01011060","S02002076"
"598","S01011064","S02002076"
"599","S01011055","S02002075"
"600","S01011057","S02002075"
"601","S01011058","S02002075"
"602","S01007007","S02001320"
"603","S01011048","S02002073"
"604","S01011049","S02002073"
"605","S01007006","S02001320"
"606","S01007004","S02001320"
"607","S01007012","S02001321"
"608","S01007003","S02001320"
"609","S01007002","S02001320"
"610","S01007008","S02001321"
"611","S01006905","S02001304"
"612","S01007010","S02001321"
"613","S01007011","S02001321"
"614","S01007009","S02001321"
"615","S01011059","S02002075"
"616","S01007031","S02001325"
"617","S01007030","S02001325"
"618","S01007015","S02001322"
"619","S01007001","S02001319"
"620","S01006998","S02001319"
"621","S01006999","S02001319"
"622","S01007000","S02001319"
"623","S01006997","S02001319"
"624","S01006915","S02001305"
"625","S01007020","S02001323"
"626","S01007018","S02001323"
"627","S01007019","S02001323"
"628","S01007021","S02001323"
"629","S01007022","S02001323"
"630","S01007013","S02001322"
"631","S01007042","S02001328"
"632","S01007016","S02001322"
"633","S01006994","S02001318"
"634","S01006991","S02001318"
"635","S01006995","S02001318"
"636","S01006996","S02001318"
"637","S01006908","S02001304"
"638","S01006892","S02001302"
"639","S01006901","S02001303"
"640","S01006898","S02001303"
"641","S01006899","S02001303"
"642","S01006914","S02001305"
"643","S01006896","S02001303"
"644","S01006900","S02001303"
"645","S01006889","S02001302"
"646","S01006893","S02001302"
"647","S01006890","S02001302"
"648","S01006909","S02001305"
"649","S01006894","S02001303"
"650","S01006897","S02001303"
"651","S01006910","S02001305"
"652","S01006891","S02001302"
"653","S01006907","S02001304"
"654","S01006904","S02001304"
"655","S01006906","S02001304"
"656","S01006895","S02001303"
"657","S01006902","S02001304"
"658","S01006903","S02001304"
"659","S01006917","S02001306"
"660","E01023743","E02004937"
"661","E01023667","E02004936"
"662","E01023741","E02004940"
"663","E01023684","E02004939"
"664","E01023726","E02004935"
"665","E01023682","E02004939"
"666","E01023727","E02004935"
"667","E01023740","E02004940"
"668","E01023683","E02004939"
"669","E01035567","E02004935"
"670","E01023744","E02004937"
"671","E01023737","E02004940"
"672","E01023738","E02004940"
"673","E01023739","E02004940"
"674","E01023676","E02004934"
"675","E01023716","E02004933"
"676","E01023728","E02004935"
"677","E01035566","E02004935"
"678","E01023675","E02004934"
"679","E01023715","E02004933"
"680","E01023714","E02004933"
"681","E01023673","E02004933"
"682","E01023674","E02004934"
"683","E01023665","E02004936"
"684","E01023681","E02004939"
"685","E01023678","E02007090"
"686","E01023666","E02004934"
"687","E01023920","E02004991"
"688","E01033311","E02004989"
"689","E01023930","E02004989"
"690","E01023929","E02004989"
"691","E01023921","E02004991"
"692","E01023927","E02004990"
"693","E01023926","E02004990"
"694","E01023922","E02004991"
"695","E01023938","E02004989"
"696","E01023924","E02004990"
"697","E01023936","E02004992"
"698","E01023923","E02004991"
"699","E01023932","E02004992"
"700","E01023937","E02004992"
"701","E01035608","E02007092"
"702","E01023933","E02007092"
"703","E01023934","E02004992"
"704","E01023935","E02004992"
"705","E01023963","E02007092"
"706","E01023925","E02004990"
"707","E01033314","E02004989"
"708","E01033308","E02004989"
"709","E01033313","E02004981"
"710","E01033310","E02004981"
"711","E01033029","E02004941"
"712","E01023704","E02004941"
"713","E01023708","E02004941"
"714","E01023706","E02004941"
"715","E01023584","E02004899"
"716","E01023583","E02004899"
"717","E01023705","E02004941"
"718","E01033028","E02004941"
"719","E01023731","E02004943"
"720","E01023719","E02004942"
"721","E01023721","E02004942"
"722","E01023717","E02004943"
"723","E01023718","E02004942"
"724","E01023720","E02004942"
"725","E01023732","E02004943"
"726","E01023526","E02004900"
"727","E01023730","E02004943"
"728","E01023733","E02004943"
"729","E01023722","E02004929"
"730","E01023742","E02004937"
"731","E01023745","E02004937"
"732","E01023713","E02004930"
"733","E01023670","E02004932"
"734","E01023672","E02004932"
"735","E01023669","E02004932"
"736","E01023671","E02004932"
"737","E01023736","E02004930"
"738","E01023749","E02004927"
"739","E01023696","E02004928"
"740","E01023723","E02004929"
"741","E01023431","E02004856"
"742","E01023724","E02004929"
"743","E01023725","E02004929"
"744","E01023432","E02004856"
"745","E01023430","E02004856"
"746","E01023433","E02004856"
"747","E01017561","E02003651"
"748","E01023677","E02007090"
"749","E01023712","E02004931"
"750","E01023668","E02004936"
"751","E01023664","E02004936"
"752","E01023680","E02007090"
"753","E01035581","E02007090"
"754","E01023747","E02004927"
"755","E01023748","E02004927"
"756","E01023746","E02004927"
"757","E01023626","E02004923"
"758","E01023710","E02004931"
"759","E01023734","E02004930"
"760","E01023735","E02004930"
"761","E01023709","E02004931"
"762","E01023711","E02004931"
"763","E01023697","E02004928"
"764","E01023686","E02004925"
"765","E01023701","E02004926"
"766","E01023698","E02004928"
"767","E01023703","E02004926"
"768","E01023695","E02004928"
"769","E01023700","E02004926"
"770","E01023699","E02004926"
"771","E01023690","E02004924"
"772","E01023691","E02004924"
"773","E01023694","E02004924"
"774","E01017564","E02003651"
"775","E01023689","E02004925"
"776","E01023692","E02004924"
"777","E01023693","E02004924"
"778","E01023688","E02004925"
"779","E01023685","E02004925"
"780","E01023702","E02004926"
"781","E01023687","E02004925"
"782","E01023486","E02004887"
"783","E01023971","E02004980"
"784","E01023968","E02004981"
"785","E01023965","E02004980"
"786","E01023962","E02004982"
"787","E01035604","E02004986"
"788","E01023966","E02004980"
"789","E01023467","E02007093"
"790","E01023967","E02004980"
"791","E01023485","E02004887"
"792","E01023950","E02004984"
"793","E01023627","E02004923"
"794","E01023969","E02004981"
"795","E01023970","E02004981"
"796","E01023959","E02004982"
"797","E01023919","E02004985"
"798","E01023595","E02004923"
"799","E01023912","E02004983"
"800","E01023958","E02004986"
"801","E01023915","E02004983"
"802","E01023914","E02004983"
"803","E01023944","E02004987"
"804","E01023943","E02004987"
"805","E01035605","E02004986"
"806","E01023913","E02004983"
"807","E01023951","E02004984"
"808","E01023952","E02004984"
"809","E01023953","E02004984"
"810","E01023956","E02004986"
"811","E01023955","E02004986"
"812","E01023957","E02004986"
"813","E01023945","E02004987"
"814","E01023939","E02004988"
"815","E01023940","E02004988"
"816","E01023942","E02004988"
"817","E01023946","E02004987"
"818","E01035606","E02004988"
"819","E01035607","E02004988"
"820","E01023918","E02004985"
"821","E01023917","E02004985"
"822","E01023916","E02004985"
"823","E01023961","E02004982"
"824","E01023960","E02004982"
"825","E01023910","E02004994"
"826","E01023909","E02004994"
"827","E01023908","E02004994"
"828","E01023911","E02004994"
"829","E01033625","E02006899"
"830","E01033616","E02006896"
"831","E01033615","E02006896"
"832","E01033620","E02006899"
"833","E01008910","E02001876"
"834","E01033557","E02006895"
"835","E01033624","E02006895"
"836","E01009146","E02006897"
"837","E01033627","E02006898"
"838","E01033565","E02006898"
"839","E01033622","E02006899"
"840","E01034951","E02006898"
"841","E01009141","E02006898"
"842","E01034950","E02006898"
"843","E01033623","E02006899"
"844","E01009363","E02001897"
"845","E01009380","E02001896"
"846","E01009379","E02001897"
"847","E01009338","E02001896"
"848","E01033650","E02001903"
"849","E01009339","E02007039"
"850","E01009329","E02001896"
"851","E01034935","E02001884"
"852","E01009337","E02001896"
"853","E01008889","E02001904"
"854","E01009335","E02006900"
"855","E01009364","E02001897"
"856","E01009200","E02006900"
"857","E01009334","E02001896"
"858","E01009332","E02006900"
"859","E01009328","E02006900"
"860","E01009344","E02006900"
"861","E01033642","E02001889"
"862","E01009325","E02001889"
"863","E01009342","E02001889"
"864","E01009326","E02001892"
"865","E01009343","E02001889"
"866","E01009327","E02006900"
"867","E01009331","E02006900"
"868","E01009371","E02001903"
"869","E01009365","E02001897"
"870","E01009368","E02001903"
"871","E01009367","E02001909"
"872","E01033648","E02001910"
"873","E01009373","E02001908"
"874","E01009372","E02001908"
"875","E01033643","E02001908"
"876","E01009377","E02001909"
"877","E01034952","E02007039"
"878","E01008884","E02001904"
