"","Local Authority Code","Petrol2024Q4","Diesel2024Q4","Hybrid2024Q4","BEV2024Q4","PHEV2024Q4","TotalCars","Petrol","Diesel","Hybrid","BEV","PHEV","Local Authority","link_length_km","link_length_miles","cars_and_taxis","all_motor_vehicles","PetrolMile","DieselMile","HybridMile","BEVMile","PHEVMile","PetrolCO2e","DieselCO2e","HybridCO2e","BEVCO2e","PHEVCO2e","BaseCO2e","pCarBaseCO2e","pCarAnnMile","pBEVAnnCO2e","pHyVAnnCO2e","reduceCO2pBEVcc","reduceCO2pHyVc"
"38","E08000006",59800,31700,6500,2219,1264,101483,0.589261255579752,0.31236758866017,0.06405013647606,0.0218657312062119,0.0124552880778061,"Salford",818.37,508.51,1128100000,1486300000,664745622.419519,352381876.767537,72254958.9586433,24666731.3737276,14050810.4805731,175978108.623119,96320062.1956387,14659086.0735296,1883304.9403841,2443716.95878127,291284278.791453,2870.27658614204,11116.147532099,848.717864075757,2255.24401131224,2021.55872206629,615.032574829802
"39","E08000007",116200,59000,23400,99746,50486,348832,0.333111641133841,0.169135859095496,0.0670810017429594,0.285942803412531,0.144728694615173,"Stockport",991.61,616.16,1028700000,1258800000,342671945.234382,173990058.251537,69006226.4929823,294149361.870471,148882408.150628,90715544.061898,47558442.522475,13999983.2308962,22458303.7788104,25893628.4255573,200625902.019637,575.136174489832,2948.98403816164,225.154931313641,598.289881662233,349.981243176191,-23.153707172401
"40","E08000008",60400,32700,6700,1724,1011,102535,0.589067147803189,0.318915492270932,0.065343541229824,0.016813770907495,0.00986004778856,"Tameside",771.16,479.18,611600000,769200000,360273467.59643,195048715.072902,39964109.8161603,10283302.2870239,6030405.2274833,95375195.076803,53314615.778027,8107918.59950261,785130.129614278,1048808.0771639,158631667.661111,1547.09774868202,5964.79250987468,455.411908128932,1210.13710440337,1091.68584055309,336.960644278645
"41","E08000009",66900,32800,7700,3285,1887,112572,0.594286323419678,0.291369079344775,0.0684006680169136,0.0291813239526703,0.0167626052659631,"Trafford",823.9,511.95,808600000,9.9e+08,480539921.117152,235601037.558185,55308780.1584764,23596018.5481292,13554242.6180578,127213333.317344,64399187.6061543,11221045.3185517,1801556.01614966,2357353.87613261,206992476.134332,1838.75631715108,7182.95846213979,548.418878584373,1457.27861279892,1290.33743856671,381.477704352164
"42","E08000010",92700,55200,8900,3007,1635,161442,0.57420002229903,0.341918459880329,0.0551281574807051,0.0186258842184809,0.0101274761214554,"Wigan",1183.98,735.69,980200000,1251200000,562830861.857509,335148474.374698,54036619.9625872,18257091.710955,9926952.09425057,148998214.059538,91609483.98558,10962949.4580097,1393928.95213142,1726495.50823206,254691071.963492,1577.6010701273,6071.53033287496,463.561340915003,1231.79207393367,1114.0397292123,345.808996193627
"43","E10000017",340100,224800,34800,13626,7261,620587,0.548029526883418,0.362237687866488,0.0560759410042428,0.0219566313828682,0.011700212862983,"Lancashire",7142.2,4437.96,5672700000,7331600000,3108807097.15157,2054865731.96022,318101990.534768,124553382.845596,66371797.5078434,822994502.828935,561676999.174008,64536531.8396937,9509650.78026127,11543383.0225641,1470261067.64546,2369.14577270465,9140.86179697609,697.904798199124,1854.49804137051,1671.24097450553,514.647731334142
"57","E08000011",36900,22200,4000,1461,742,65303,0.565058266848384,0.339953754038865,0.0612529286556514,0.0223726321914767,0.0113624182656233,"Knowsley",608.65,378.2,809900000,1026700000,457640690.320506,275328545.396077,49608746.918212,18119594.8118769,9202422.55332833,121151219.948548,75258304.5985636,10064622.5747669,1383431.0638868,1600485.33047486,209458063.51624,3207.47995522778,12402.186729553,946.906956801372,2516.15564369171,2260.57299842641,691.324311536066
"58","E08000012",96700,52200,10800,3415,1755,164870,0.586522714866258,0.316613089100503,0.0655061563656214,0.0207132892582034,0.0106447504094135,"Liverpool",1432.73,890.26,1121700000,1363100000,657902529.265482,355144902.044035,73478255.5953175,23234096.5609268,11940216.5342391,174166536.572451,97075307.5247165,14907268.495178,1773923.27242676,2076642.45963486,289999678.324407,1758.95965502764,6803.54218475162,519.450445805786,1380.30263844241,1239.50920922185,378.657016585232
"59","E08000014",74700,40800,8300,2583,1393,127776,0.58461682945154,0.319308790383171,0.0649574254946156,0.0202150638617581,0.0109018908089156,"Sefton",1004.24,624.01,597800000,741800000,349483940.646131,190882794.891059,38831548.9606812,12084565.176559,6517150.32556975,92518883.6072502,52175903.1555222,7878144.653143,922656.551230278,1133462.78462309,154629050.751769,1210.15723415797,4678.49987478087,357.203465439519,949.174054595542,852.953768718451,260.983179562427
"60","E08000013",52700,28500,5100,1849,913,89062,0.591722620197166,0.320001796501314,0.0572634793739193,0.0207608183063484,0.0102512856212526,"St. Helens",746.82,464.05,653300000,859400000,386572387.774809,209057173.654308,37410231.0749815,13563042.5995374,6697164.89636433,102337308.215625,57143687.8466686,7589787.68049224,1035538.30247468,1164770.91877568,169271092.964036,1900.59838049939,7335.33942646696,560.053165210752,1488.19366284162,1340.54521528863,412.40471765777
