"","MSOA21CD","TotHhold","VehsReg","CarOwnRates","EVReg","EVRate","CarRedincCC","CCCarOwn","CCredCarOwn","EVincCC","EVRateincCC","ChangeEVuptake"
"22","E02000023",2663,2215,0.831768681937664,55,0.0248306997742664,2206,0.828389034923019,-0.0033796470146451,64,0.0289986406887177,0.416794091445135
"23","E02000024",4477,4530,1.01183828456556,220,0.0485651214128035,4521,1.00982800982801,-0.00201027473754745,229,0.050641309155241,0.207618774243751
"24","E02000025",3746,3403,0.908435664709023,119,0.0349691448721716,3394,0.906033101975441,-0.00240256273358241,128,0.0377025036818851,0.273335880971351
"25","E02000026",2512,2949,1.17396496815287,98,0.0332316039335368,2940,1.1703821656051,-0.00358280254777088,107,0.0363821829309759,0.315057899743906
"26","E02000027",3685,3700,1.00407055630936,110,0.0297297297297297,3691,1.00162822252374,-0.00244233378561742,119,0.0322318526543879,0.250212292465814
"27","E02000028",2692,2745,1.01968796433878,81,0.0295081967213115,2736,1.01634472511144,-0.00334323922734026,90,0.0328827183047132,0.337452158340171
"28","E02000029",3710,3597,0.969541778975741,87,0.02418682235196,3588,0.96711590296496,-0.0024258760107817,96,0.0267483978824185,0.256157553045853
"29","E02000030",3517,5073,1.44242251919249,365,0.0719495367632565,5064,1.43986352004549,-0.00255899914700031,374,0.0738400789733465,0.189054221009004
"30","E02000031",3327,3653,1.09798617373009,164,0.0448946071721872,3644,1.09528103396453,-0.00270513976555442,173,0.0474622770919067,0.256766991971948
"31","E02000032",2741,3497,1.2758117475374,126,0.0360308836145267,3488,1.27252827435243,-0.00328347318496891,135,0.0386930352536543,0.266215163912761
"32","E02000033",3494,3413,0.976817401259302,105,0.0307647231174919,3404,0.97424155695478,-0.00257584430452196,114,0.0334801762114537,0.27154530939618
"33","E02000034",3588,3526,0.982720178372352,115,0.0326148610323313,3517,0.980211817168339,-0.00250836120401332,124,0.0352472996020466,0.263243856971537
"34","E02000035",3530,3047,0.863172804532578,140,0.0459468329504431,3038,0.860623229461756,-0.00254957507082154,149,0.0490292859493254,0.308245299888238
"35","E02000036",3944,4505,1.14224137931034,155,0.0344062153163152,4496,1.13995943204868,-0.00228194726166331,164,0.0364687569490772,0.206254163276196
"36","E02000037",3717,4485,1.20661824051655,193,0.0430323299888517,4476,1.20419693301049,-0.00242130750605329,202,0.0451194996649542,0.208716967610248
"37","E02000038",4005,3971,0.991510611735331,158,0.0397884663812642,3962,0.989263420724095,-0.00224719101123594,167,0.0421397930860459,0.235132670478175
"38","E02000039",2674,3091,1.15594614809274,248,0.080232934325461,3082,1.1525804038893,-0.00336574420344049,257,0.083360363282517,0.312742895705602
"39","E02000040",2860,4096,1.43216783216783,284,0.0693359375,4087,1.42902097902098,-0.00314685314685303,293,0.0716731898238748,0.233725232387476
"40","E02000041",3325,3413,1.02646616541353,152,0.0445355991796074,3404,1.02375939849624,-0.00270676691729332,161,0.0472834067547724,0.2747807575165
"41","E02000042",4716,3588,0.760814249363868,186,0.0518394648829431,3579,0.758905852417303,-0.00190839694656486,195,0.0544692737430168,0.262980886007361
"42","E02000043",2666,2862,1.0735183795949,144,0.050314465408805,2853,1.07014253563391,-0.00337584396099033,153,0.0536089698668535,0.329450445804851
"43","E02000044",3070,2963,0.96514657980456,98,0.0330745865676679,2954,0.962214983713355,-0.0029315960912053,107,0.0362098138747885,0.313522730712059
"44","E02000045",4204,3304,0.785918173168411,98,0.0296610169491525,3295,0.783777354900095,-0.00214081826831591,107,0.0324635922330097,0.280257528385716
"45","E02000046",2879,2329,0.808961444946162,110,0.047230571060541,2320,0.805835359499826,-0.00312608544633552,119,0.051271003877639,0.404043281709795
"46","E02000047",3669,3699,1.00817661488144,87,0.0235198702351987,3690,1.00572363041701,-0.00245298446443165,96,0.0260092115957735,0.24893413605748
