Local.Authority.Code,Petrol2024Q2,Diesel2024Q2,Hybrid2024Q2,BEV2024Q2,PHEV2024Q2,TotalCars,Petrol,Diesel,Hybrid,BEV,PHEV,Local.Authority,link_length_km,link_length_miles,cars_and_taxis,all_motor_vehicles,PetrolMile,DieselMile,HybridMile,BEVMile,PHEVMile,PetrolCO2e,DieselCO2e,HybridCO2e,BEVCO2e,PHEVCO2e,BaseCO2e,pCarBaseCO2e,pCarAnnMile,pBEVAnnCO2e,pHyVAnnCO2e,reduceCO2pBEVcc,reduceCO2pHyVc
E08000006,59800,32700,5500,1735,1048,100783,0.593354038,0.324459482,0.054572696,0.017215205,0.010398579,Salford,816.45,507.32,1071500000,1427800000,635778851.6,347658335.2,58474643.54,18446092.1,11142077.53,168309735.4,95028929.35,11863335.68,1408359.132,1937830.125,278548189.7,2763.841022,10631.75337,811.7343699,2156.970124,1952.106652,606.8708976
E08000007,123000,64000,23200,91190,48526,349916,0.351512935,0.182901039,0.066301627,0.260605402,0.138678997,Stockport,988.11,613.98,993800000,1224700000,349333554.3,181767052.7,65890556.59,258989648.9,137819187.5,92479071.84,49684206.18,13367876.12,19773859.7,23969513.08,199274526.9,569.4924694,2840.110198,216.8424136,576.2015569,352.6500558,-6.709087562
E08000008,60900,33400,5700,1351,836,102187,0.595966219,0.326851752,0.055780089,0.01322086,0.00818108,Tameside,769.03,477.85,601200000,7.60E+08,358294890.7,196503273.4,33534989.77,7948380.91,4918465.167,94851406.43,53712204.75,6803578.725,606858.8824,855419.4618,156829468.2,1534.730134,5883.331539,449.192363,1193.610303,1085.537771,341.1198318
E08000009,67600,34000,6600,2798,1785,112783,0.599381112,0.301463873,0.058519458,0.024808703,0.015826853,Trafford,822.67,511.18,790500000,969100000,473810769.4,238307191.7,46259631.33,19611280.07,12511127.56,125431925,65138887.78,9385154.004,1497321.233,2175935.306,203629223.3,1805.495716,7009.03505,535.139826,1421.993031,1270.35589,383.5026847
E08000010,93200,56400,7600,2389,1352,160941,0.579094202,0.350438981,0.047222274,0.014843949,0.008400594,Wigan,1179.06,732.63,948800000,1.22E+09,549444579.1,332496504.9,44804493.57,14083938.83,7970483.593,145454463.4,90884594.66,9089935.656,1075308.73,1386226.507,247890529,1540.257169,5895.328102,450.1083006,1196.044165,1090.148868,344.2130033
E10000017,342800,229600,29700,11231,6116,619447,0.55339682,0.370653179,0.047945991,0.018130688,0.009873322,Lancashire,7098.67,4410.91,5531300000,7166900000,3061003831,2050193931,265203657.5,100286271.9,54612308.72,810339544.1,560400009.1,53804518.02,7656856.863,9498172.733,1441699101,2327.397018,8929.416076,681.7609174,1811.599933,1645.636101,515.7970849
E08000011,37100,22700,3200,1038,615,64653,0.573832614,0.35110513,0.049494996,0.016054939,0.00951232,Knowsley,601.48,373.74,770500000,9.89E+08,442138029.2,270526503,38135894.7,12370330.84,7329242.263,117047200.5,73945714.34,7737010.317,944474.7599,1274701.814,200949101.7,3108.117206,11917.46709,909.8986126,2417.815724,2198.218593,690.3014816
E08000012,97000,53700,8900,2514,1436,163550,0.593090798,0.328339957,0.054417609,0.015371446,0.00878019,Liverpool,1431.13,889.26,1104600000,1346900000,655128095.4,362684316.7,60109691.23,16979299.3,9698597.371,173432060.7,99136131.13,12195054.16,1296369.501,1686780.055,287746395.5,1759.378756,6753.897891,515.6601039,1370.230804,1243.718652,389.1479519
E08000014,75300,41800,7100,1987,1152,127339,0.591334941,0.328257643,0.055756681,0.015604018,0.009046718,Sefton,999.33,620.95,587400000,730500000,347350144.1,192818539.5,32751474.41,9165799.951,5314042.045,91954003.65,52705019.58,6644619.128,699808.8263,924218.1925,152927669.4,1200.949194,4612.88372,352.193672,935.8618491,848.7555217,265.0873446
E08000013,53000,29400,4200,1371,722,88693,0.597566888,0.3314805,0.047354357,0.015457815,0.008140439,St. Helens,745.87,463.46,636300000,843800000,380231810.9,210921042.2,30131577.46,9835807.786,5179761.65,100658767.3,57653157.69,6113094.436,750963.9245,900864.1461,166076847.5,1872.491036,7174.18511,547.7490332,1455.498675,1324.742003,416.9923611
E08000015,95000,48800,7600,2569,1295,155264,0.611861088,0.31430338,0.048948887,0.016546012,0.008340633,Wirral,1218.35,757.05,903100000,1099900000,552571748.8,283847382.5,44205739.9,14942703.4,7532425.417,146282319.1,77586843.54,8968460.511,1140875.404,1310039.429,235288537.9,1515.409483,5816.544724,444.0931897,1180.060594,1071.316293,335.3488892
