"","Local Authority Code","Petrol2024Q2","Diesel2024Q2","Hybrid2024Q2","BEV2024Q2","PHEV2024Q2","TotalCars","Petrol","Diesel","Hybrid","BEV","PHEV","Local Authority","link_length_km","link_length_miles","cars_and_taxis","all_motor_vehicles","PetrolMile","DieselMile","HybridMile","BEVMile","PHEVMile","PetrolCO2e","DieselCO2e","HybridCO2e","BEVCO2e","PHEVCO2e","BaseCO2e","pCarBaseCO2e","pCarAnnMile","pBEVAnnCO2e","pHyVAnnCO2e","reduceCO2pBEVcc","reduceCO2pHyVc"
"15","E08000022",56100,30500,4400,1744,820,93564,0.599589585738104,0.325980077807704,0.0470266341755376,0.0186396477277585,0.00876405455089564,"North Tyneside",816.67,507.46,6.83e+08,830700000,409519687.059125,222644393.142662,32119191.1418922,12730879.3980591,5985849.25826172,108412146.755162,60857618.4216152,6516341.49886709,972002.642041811,1041058.90299688,177799168.220683,1900.29464559749,7299.81616861186,557.340964473515,1480.98670428797,1342.95368112397,419.307941309512
"16","E08000023",35800,22400,2600,1011,527,62338,0.574288555936989,0.359331386954987,0.0417081074144182,0.0162180371522988,0.00845391254130707,"South Tyneside",572.61,355.8,410700000,511500000,235860309.923321,147577400.622413,17129519.7151015,6660747.8584491,3472021.88071481,62439299.8460008,40338806.6861305,3475236.9597998,508548.098992589,603854.04549392,107365745.636418,1722.31617370492,6588.27681350059,503.01493471077,1336.629599923,1219.30123899415,385.686573781924
"17","E08000024",67200,43700,5100,1872,792,118664,0.566304860783388,0.368266702622531,0.0429784938987393,0.0157756354075372,0.00667430728780422,"Sunderland",1187.36,737.79,867300000,1086700000,491156205.757433,319397711.184521,37275247.7583766,13682208.5889571,5788626.7107126,130023782.350165,87304170.375177,7562402.26521944,1044636.62576687,1006757.95752714,226941749.573856,1912.47345086847,7308.87210948561,558.032385559226,1482.82397357244,1354.44106530924,429.649477296026
"18","E12000002",NA,NA,204400,151519,83135,439054,NA,NA,0.465546379260865,0.345103335808352,0.189350284930783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"19","E06000008",32500,26700,4000,1009,642,64851,0.501148787219935,0.411713003654531,0.0616798507347612,0.0155587423478435,0.00989961604292918,"Blackburn with Darwen",530.54,329.66,348200000,433200000,174500007.709981,143358467.872508,21476924.0258439,5417554.08551911,3447046.30614794,46195387.0410634,39185603.6082713,4357238.3463632,413630.254429384,599510.29356525,90751369.5436925,1399.38273185753,5369.23100646096,409.940787343295,1089.3095865908,989.441944514232,310.073145266726
"20","E06000009",34400,19600,3300,781,336,58417,0.588869678347057,0.335518770220997,0.05649040519027,0.0133693958950306,0.00575175034664567,"Blackpool",446.99,277.75,275400000,328200000,162174709.416779,92401869.3188627,15557457.5894003,3681931.62949141,1584032.04546622,42932510.823904,25257126.9596179,3156296.99573754,281115.47991167,275494.853347484,71902545.1125186,1230.8496689751,4714.38108769707,359.942996045672,956.453635071982,870.906672929432,274.396033903121
"21","E06000049",136200,73500,11700,5908,4276,231584,0.588123531850214,0.317379438994058,0.0505216249827277,0.0255112615724748,0.0184641426005251,"East Cheshire",2753.7,1711.07,2198800000,2.958e+09,1293166021.83225,697853910.460135,111086949.012022,56094161.9455576,40598956.7500345,342339840.959652,190751387.885173,22537320.2155589,4282789.26454332,7060970.55796601,566972308.882893,2448.23609957032,9494.61102666851,724.913551886141,1926.26668509051,1723.32254768418,521.969414479815
"22","E06000050",113400,67600,8700,4208,2350,196258,0.577810840831966,0.344444557674082,0.0443294031326112,0.0214411641818423,0.0119740341794984,"West Cheshire",2307.62,1433.89,1922500000,2507300000,1110841341.49945,662194662.128423,85223277.5224449,41220638.1395918,23020080.7100857,294073028.335151,181004288.946183,17290098.5437536,3147195.72195783,4003652.43709811,499518263.984143,2545.21224094887,9795.77902556838,747.907728602146,1987.36764870731,1797.30451234672,557.844592241556
"23","E06000006",37100,22300,2900,2120,502,64922,0.57145497674132,0.343489110008934,0.0446689874002649,0.032654570099504,0.0077323557499769,"Halton",598.95,372.17,495600000,6.34e+08,283213086.472998,170233202.920428,22137950.1555713,16183604.9413142,3832155.50968855,74975000.3819969,46531543.6862697,4491347.32756231,1235618.23726934,666488.486245032,127899998.119343,1970.05634637478,7633.77591571424,582.838791164782,1548.74045778011,1387.21755520999,421.315888594671
"24","E06000007",66500,36500,6100,2530,1336,112966,0.588672697979923,0.323106067312289,0.0539985482357523,0.0223961191863038,0.011826567285732,"Warrington",1008.94,626.93,1.28e+09,1.719e+09,753501053.414302,413575766.159729,69118141.741763,28667032.5584689,15138006.1257369,199474333.870368,113046799.9221,14022688.5965689,2188727.9358391,2632802.02538817,331365352.350265,2933.31933812178,11330.8429084857,865.109856062886,2298.80140927359,2068.20948205889,634.51792884819
